date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:51	24939/24939	---M--	200	added ('OK')	text/css	etag:%22616b-5b902c55f8d00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/fullcalendar/css/main.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/fullcalendar/css/main.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/app-calender.html)
13:14:51	53324/53324	---M--	200	added ('OK')	application/x-javascript	etag:%22d04c-58dde996f0800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/moment/moment.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/moment/moment.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/app-calender.html)
13:14:52	2981/2981	---M--	200	added ('OK')	application/x-javascript	etag:%22ba5-5e094893fe180%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/fullcalendar-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/fullcalendar-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/app-calender.html)
13:14:52	249530/249530	---M--	200	added ('OK')	application/x-javascript	etag:%223ceba-5b902c57e1180%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/fullcalendar/js/main.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/fullcalendar/js/main.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/app-calender.html)
13:14:53	86619/86619	---M--	200	added ('OK')	image/jpeg	etag:%221525b-60faf9671d580%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/1.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/1.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:53	67370/67370	---M--	200	added ('OK')	image/jpeg	etag:%221072a-60fafa2d7a980%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/3.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/3.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:54	82316/82316	---M--	200	added ('OK')	image/jpeg	etag:%221418c-60faf9a9df300%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/2.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/2.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:54	96377/96377	---M--	200	added ('OK')	image/jpeg	etag:%2217879-60fafa7bae200%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/4.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/4.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:54	54000/54000	---M--	200	added ('OK')	image/jpeg	etag:%22d2f0-60fafab8b7200%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/5.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/5.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:55	15436/15436	---M--	200	added ('OK')	image/jpeg	etag:%223c4c-5c433ab305180%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/6.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/6.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:55	16583/16583	---M--	200	added ('OK')	image/jpeg	etag:%2240c7-5c433ab305180%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/product/7.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/product/7.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-grid.html)
13:14:56	1387/1387	---M--	200	added ('OK')	text/css	etag:%2256b-5a1ea14817180%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/star-rating/star-rating-svg.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/star-rating/star-rating-svg.css	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-list.html)
13:14:56	1503/1503	---M--	200	added ('OK')	application/x-javascript	etag:%225df-5a1ea18ad8f00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/star-rating/jquery.star-rating-svg.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/star-rating/jquery.star-rating-svg.js	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-list.html)
13:14:57	41358/41358	---M--	200	added ('OK')	image/jpeg	etag:%22a18e-60fafe1c8f180%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/1.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/1.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-detail.html)
13:14:58	36181/36181	---M--	200	added ('OK')	image/jpeg	etag:%228d55-60fafe4685480%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/2.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/2.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-detail.html)
13:14:59	34020/34020	---M--	200	added ('OK')	image/jpeg	etag:%2284e4-60fafe707b780%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/3.jpg	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/images/tab/3.jpg	(from https://yashadmin.dexignzone.com/tailwind/demo/ecom-product-detail.html)
